"","genes","mutations","residual_error"
"1",10,1,2603.94904587443
"2",10,2,2634.81835355247
"3",10,3,2574.37256160833
"4",10,4,2566.88173649556
"5",10,5,2612.09831601464
"6",10,6,2554.50785563563
"7",10,7,2611.60669219227
"8",10,8,2590.21665544466
"9",10,9,2560.20058906203
"10",10,10,2577.51877898069
"11",20,1,2579.79695121005
"12",20,2,2558.09306513232
"13",20,3,2562.13873180447
"14",20,4,2579.33110688802
"15",20,5,2579.16198133094
"16",20,6,2607.2319132486
"17",20,7,2626.06270176634
"18",20,8,2630.98553376702
"19",20,9,2558.56157162315
"20",20,10,2560.95665369093
"21",30,1,2568.50491673134
"22",30,2,2610.49092473406
"23",30,3,2571.71452905049
"24",30,4,2570.56934353243
"25",30,5,2602.45817670274
"26",30,6,2609.74992311303
"27",30,7,2585.07854768218
"28",30,8,2611.70138522208
"29",30,9,2585.94708887556
"30",30,10,2586.48863687052
"31",40,1,2545.21259960574
"32",40,2,2577.81548585983
"33",40,3,2559.6628775873
"34",40,4,2605.31827556024
"35",40,5,2609.83162372538
"36",40,6,2621.94133577315
"37",40,7,2607.22427944023
"38",40,8,2570.54621437303
"39",40,9,2582.98563557724
"40",40,10,2554.21157169048
"41",50,1,2576.93097271513
"42",50,2,2626.09272310436
"43",50,3,2541.97506669022
"44",50,4,2591.08487592769
"45",50,5,2605.42413397942
"46",50,6,2621.24373576795
"47",50,7,2603.39407110106
"48",50,8,2570.09033777745
"49",50,9,2559.11580499502
"50",50,10,2563.55852335526
"51",60,1,2596.68623586267
"52",60,2,2570.33839803808
"53",60,3,2569.92670340452
"54",60,4,2598.17168757639
"55",60,5,2601.79823873453
"56",60,6,2549.14401621596
"57",60,7,2613.01943127546
"58",60,8,2583.69767686354
"59",60,9,2589.23993089467
"60",60,10,2606.91430836265
